CellID,Row,Col,AreaName,HasTower,SignalStrength,IsCovered
C001,1,1,Market Circle,1,5,1
C002,1,2,Market Circle,0,4,1
C003,1,3,Shopping Lane A,0,3,1
C004,1,4,Shopping Lane B,0,2,1
C005,1,5,Temple Street,0,1,1
C006,1,6,Temple Street,0,0,1

C007,2,1,Market Circle,0,4,1
C008,2,2,City Hospital Road,0,3,1
C009,2,3,Shopping Lane A,0,2,1
C010,2,4,Shopping Lane B,0,1,1
C011,2,5,Residential A,0,0,1
C012,2,6,Residential A,0,-1,0

C013,3,1,University Road,0,3,1
C014,3,2,University Road,0,2,1
C015,3,3,IT Park Shops,0,1,1
C016,3,4,IT Park Shops,1,5,1
C017,3,5,IT Park,0,4,1
C018,3,6,IT Park,0,3,1

C019,4,1,Industrial Zone,0,2,1
C020,4,2,Industrial Zone,0,1,1
C021,4,3,City Bus Stand Area,0,0,1
C022,4,4,City Bus Stand Area,0,3,1
C023,4,5,Residential B,0,2,1
C024,4,6,Residential B,0,1,1

C025,5,1,Airport Road,0,1,1
C026,5,2,Airport Road,1,5,1
C027,5,3,Airport Road Shops,0,4,1
C028,5,4,Airport Road Shops,0,3,1
C029,5,5,New Market Zone,0,2,1
C030,5,6,New Market Zone,0,1,1

C031,6,1,Outer Ring Road,0,0,1
C032,6,2,Outer Ring Road,0,-1,0
C033,6,3,Outer Ring Road,0,-1,0
C034,6,4,Outer Ring Road,0,2,1
C035,6,5,Outer Ring Road,0,1,1
C036,6,6,Outer Ring Road,0,0,1
