area_from,area_to,cost_in_crores
Central_Market,Railway_Station,4
Central_Market,Residential_Block_A,6
Central_Market,Old_City,5
Central_Market,IT_Park,12
Central_Market,Airport,20

Railway_Station,Residential_Block_A,3
Railway_Station,Old_City,4
Railway_Station,Industrial_Area,15

Residential_Block_A,Residential_Block_B,2
Residential_Block_A,Old_City,5
Residential_Block_A,IT_Park,10

Residential_Block_B,Residential_Block_C,3
Residential_Block_B,IT_Park,8
Residential_Block_B,Commercial_Hub,7

Residential_Block_C,Old_City,6
Residential_Block_C,Slum_Area,5

Old_City,Slum_Area,2
Old_City,Industrial_Area,9
Old_City,Commercial_Hub,11

Slum_Area,Industrial_Area,6
Slum_Area,Airport,18

IT_Park,Commercial_Hub,4
IT_Park,Airport,14
IT_Park,Industrial_Area,12

Commercial_Hub,Industrial_Area,7
Commercial_Hub,Airport,16
